,Name,Price,Kms_driven,Fuel_type,Year,Company
408,Hyundai Grand i10,501599,35203, Petrol ,2016,Hyundai
409,Maruti Suzuki Eeco,506599,7597, Petrol ,2020,Maruti
410,Mahindra Scorpio S5,1198599,34883, Diesel ,2018,Mahindra
411,Ford Ecosport -,775499,59580, Diesel ,2017,Ford
412,Maruti Suzuki Ritz,338999,49647, Petrol ,2011,Maruti
413,Hyundai Verna Fluidic,652699,67577, Petrol ,2016,Hyundai
414,Tata Tiago -,535899,10890, Petrol ,2017,Tata
415,Maruti Suzuki Swift,492099,57444, Petrol ,2015,Maruti
416,Honda City -,885999,33598, Petrol ,2017,Honda
417,Ford Freestyle -,694899,17804, Petrol ,2018,Ford
418,Maruti Suzuki Swift,450599,62613, Petrol ,2013,Maruti
419,Hyundai i20 Asta,377999,56974, Petrol ,2010,Hyundai
420,Datsun Redi GO,491499,1405, Petrol ,2021,Datsun
421,Maruti Suzuki Omni,89000,85000, Petrol,2008,Maruti
422,Hyundai Creta 1.6,1865000,8000, Petrol,2020,Hyundai
423,Datsun GO T,235000,29000, Petrol,2014,Datsun
424,Mahindra Bolero B6,1025000,22000, Diesel,2020,Mahindra
425,Volkswagen Polo GT,450000,118000, Petrol,2014,Volkswagen
426,Hyundai Creta 1.6,1575000,23000, Diesel,2020,Hyundai
427,Maruti Suzuki Swift,695000,34000, Diesel,2018,Maruti
428,Honda Civic 1.8V,295000,87000, Petrol,2008,Honda
429,Hyundai Verna -,1171199,36965, Petrol ,2018,Hyundai
430,Honda WR V,625699,25526, Petrol ,2017,Honda
431,Hyundai Grand i10,453199,20235, Petrol ,2016,Hyundai
432,Maruti Suzuki Vitara,850499,61064, Diesel ,2018,Maruti
433,Maruti Suzuki Ignis,548699,12558, Petrol ,2018,Maruti
434,Maruti Suzuki Alto,498799,14179, Petrol ,2019,Maruti
435,Honda City VX,1377199,20379, Petrol ,2020,Honda
436,Ford Ecosport -,772799,42837, Petrol ,2017,Ford
437,Hyundai Elite i20,572599,67473, Petrol ,2016,Hyundai
438,Honda City V,774899,27576, Petrol ,2016,Honda
439,Maruti Suzuki S,885099,80900, Diesel ,2017,Maruti
440,Hyundai Elite i20,687499,100934, Diesel ,2017,Hyundai
441,Hyundai Elite i20,567799,29060, Petrol ,2015,Hyundai
442,Hyundai i10 Magna,398499,36129, Petrol ,2016,Hyundai
443,Maruti Suzuki Swift,348499,156442, Diesel ,2011,Maruti
444,Maruti Suzuki Wagon,520899,48710, Petrol ,2018,Maruti
445,Ford Figo Diesel,225000,80000, Diesel,2012,Ford
446,Honda City SV,725000,57000, Petrol,2015,Honda
447,Honda CRV -,240000,97000, LPG,2004,Honda
448,Honda Amaze 1.2,425000,44000, Petrol,2013,Honda
449,Maruti Suzuki Swift,500000,57000, Petrol,2015,Maruti
450,Maruti Suzuki Swift,250000,77000, Petrol,2008,Maruti
451,Maruti Suzuki Ritz,360000,81000, Petrol,2013,Maruti
452,Hyundai Creta 1.6,975000,41000, Petrol,2016,Hyundai
453,Ford Ecosport -,916799,20619, Petrol ,2018,Ford
454,Maruti Suzuki Wagon,480999,51149, Petrol + CNG ,2018,Maruti
455,Tata Nexon -,1043299,12978, Petrol ,2020,Tata
456,Honda City V,787399,40025, Petrol ,2016,Honda
457,Hyundai Grand i10,501599,63075, Petrol ,2016,Hyundai
458,Honda Brio -,362999,78724, Petrol ,2012,Honda
459,Renault Kwid -,403199,12257, Petrol ,2018,Renault
460,Hyundai Venue -,1022599,26890, Diesel ,2019,Hyundai
461,Nissan Micra Active,483199,20485, Petrol ,2018,Nissan
462,Hyundai EON Era,321399,69220, Petrol ,2017,Hyundai
